useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
00382b53b93cc5172361f150e31da69c6daf7eaba0d05923deae628706d10531,-1,46.633,0,-1.0,-1,,,46267,-1,-1.0
00a3f2c7a4529ff816ce926765cfb3b701f977b90b03ba23e0e02aa758e928ad,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
01779aaa17df718095dc531f6185e0170dd3b530a09926a938724e41d0f2e30e,CIV.1.1_1,173.823,2,16.875,6826,5.30365,-3.96057,57425,1,8.0
017b80439b1a31809ee2ff193ac8a997910731ecddbfdb192dd9a6c922ee701e,CIV.1.1_1,34.686,1,0.0,49378,5.2662,-3.98751,119375,1,8.0
01dae42c41aaad6234266df15542fb27ad188c49346efe360f2a94cb6cebddcb,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
0243919030dc3fd5b0c586e727ad12d6367b3bb1e6aa00567b2af27bb0816099,-1,22.752,0,-1.0,-1,,,102060,-1,-1.0
02471e5da2d20d441753e14d080edc5fbb244777639b37ffec8f3c6573663502,-1,5.195,0,-1.0,-1,,,45181,-1,-1.0
02dd9ee2b4583a20ea2bcb470de39d8296524c7b79c9e27a54d41a91eeb2e348,CIV.1.1_1,0.001,1,-1.0,56640,5.40707,-3.98461,56640,1,8.0
03490f85bf934fe1fd08d1917403d7621085183c88c48194b8d62c31c6acf29b,CIV.1.1_1,0.2,1,-1.0,62269,5.38158,-3.97195,62269,1,8.0
036b692f114668cd56e1593800b6ea74e0c0466db30d8135a6e8b125a5f3c0e1,CIV.1.1_1,24.306,4,1.586,17069,5.34254,-4.03321,39323,1,8.0
037dad5067539d1c98cc6dd40e3c3e81e81df331200e3150a4e51d3440762e5d,CIV.1.1_1,109.998,1,0.0,1127,5.36261,-3.93709,105002,1,8.0
04681e8fc8b8ba5407e7ab336f67d5ebf1b640711686b394071a6a42796c1ffe,CIV.1.1_1,3.718,2,1.845,42672,5.39154,-3.97156,43933,1,8.0
047957d60f614bd1920db91eaa010a53c83a82c5fc200ebaea01fa9e58b221f3,-1,0.003,0,-1.0,-1,,,249,-1,-1.0
051eb6f0aff0d3c3ef52bc597af3ad4f8c23d48eb71180d10ccf1be0b9cafe46,CIV.3.2_1,55.798,1,0.0,770,5.22017,-3.72323,81749,1,7.0
0581d184211fe7fac56af2179e5eba83782161a9bea9953992ae5c3b77c9ea91,CIV.7.3_1,2.041,2,0.055,46238,5.81104,-3.95082,49532,1,6.0
07229642aab4f40cbfc3b01869db88447a2680284622444564a53b9e48783a63,-1,9.812,0,-1.0,-1,,,12490,-1,-1.0
07d37890445bfc9441117a0c1bc0c83fbc76911f47db812986a717a1b3d07b06,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
082ffc192a301090db67c767502ad4fcb085b0ed1f98df71eb891807bdc0ab34,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
08719b0f8022fcf8f1616da55b6f7be5f4e6f0d69036105bd1a0080d21cc0ffc,CIV.1.1_1,0.963,1,0.0,68923,5.40253,-3.99353,68923,1,8.0
08e483084a6cd0e1fdaf9720e3d525f5319ceccdc922f1196a5d35d80f92815c,CIV.1.1_1,8.67,1,0.0,74914,5.3476,-4.02649,76133,1,8.0
09c632d25d08ba232be1b167eb3852c44da3fd61aa7bddfb6ae027d970bdd6cc,CIV.1.1_1,0.0,1,-1.0,90218,5.2597,-3.96057,90218,1,8.0
0a2221355c9adcd392734c256cb54508491df4d4f46ac32800b941b920220d67,CIV.1.1_1,110.802,4,9.358,76507,5.33123,-4.02251,100900,1,8.0
0a4952cf31fef9ce93c88312a6676b50066d739fc64fbab0cdd90145949081a4,CIV.1.1_1,7.35,1,0.0,40569,5.33637,-4.02092,53087,1,8.0
0a5547ca0645faf125403ce6f7763d5d057176547cd107cbbd6db115c62b9002,CIV.1.1_1,1.65,1,0.0,7191,5.31413,-4.05693,7191,1,8.0
0ae3e325d34dd43b8c0a83db0cae8e6e7136edb99e13922fbf916f26aa20ded2,-1,0.125,0,-1.0,-1,,,36765,-1,-1.0
0b1257229dd5f9888d1aeccae3eb151e7074d81aaeabded61a4ff974bc0797f4,CIV.1.1_1,2.253,1,0.0,8896,5.33567,-4.00093,54543,1,8.0
0b1bc5366d25c4764a13a70375943081f207ee589da54f336ebd11ac3c2c27fe,CIV.8.3_1,0.306,2,0.153,21663,7.38896,-7.54893,23613,1,7.0
0b47a144fff1931fadb76b81e0d53e5bcac0ab9fc6b65e9dd81ccd16cc9af4f5,CIV.1.1_1,0.0,1,-1.0,100595,5.36957,-3.97156,100595,1,8.0
0b709218e494463425b794200d26ba42c4636e015ca34728cc06945b356ca0bc,CIV.1.1_1,1.539,1,0.0,67418,5.35858,-4.05945,69595,1,8.0
0bc7daf4dd0fdaf295f445c8d34176da2b910a83807e57b8339aa1efff68f55b,CIV.11.1_1,7.165,1,0.0,733,7.72342,-5.02788,56850,1,7.0
0cc6708fb7e19ed645170721d2c2980e4087c67e8ff9282b1cb7e8e305672437,CIV.1.1_1,15.561,1,0.0,45722,5.3421,-4.0155,63536,1,8.0
0d7775d81976f36ea7f9f050584e4a579c2fc5ea18e795a5982859bde233f34d,CIV.1.1_1,17.076,1,0.0,13067,5.3476,-4.07043,92415,1,8.0
0d91cc371cdf9dc5eb3c82bab9cdaa897f05108b6bbb9be2598c8ae6d5be94c4,CIV.1.1_1,44.66,1,0.0,3641,5.35031,-4.00519,131817,1,8.0
0e25b20f71df7c05942886ce7ca7bcf9fbe79153530c1a9320197b8940148615,-1,2.797,0,-1.0,-1,,,51927,-1,-1.0
0f17c23331961c831169a887ff559ab12478aa3f49707e2817b45e0632f8c04e,CIV.1.1_1,21.479,2,2.148,50228,5.30365,-3.96057,73651,1,8.0
0f22124cc0d5694105657bf0522a316648367912ac471f7347f93893a4f3d158,CIV.1.1_1,0.015,1,-1.0,5274,5.42426,-4.01892,5274,1,8.0
0f4629b61bb9bd638fcca89a735b5a0c5cad7da46c00aee0359c82cb89e49292,-1,3.022,0,-1.0,-1,,,243,-1,-1.0
0f66cff82169db0c7e8263cf4c77d18cd21a203da4ef2e4e2e37099ec0580124,-1,14.618,0,-1.0,-1,,,15272,-1,-1.0
102a24909096ec74060e5458a898cfa504913b7ea1a0eb33fce86056394f74ed,CIV.9.2_1,3.261,1,0.0,9174,7.0348,-5.5369,94959,1,7.0
103514f581d71af2da5ce122fb9c7b299a979479a2eebe35b38b374e46e27b5a,CIV.1.1_1,69.152,3,10.771,29502,5.36957,-3.91663,64528,1,8.0
10e15d26dad08852b5231e86e70c1795797ca18db865b4225c966eb2c7168f77,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
