date,useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
02/01,0de010d83c75cd6fd391b553c13ed871bd55cc03b42765030537e8acfea5bffe,CIV.1.,8.973,3,1.059,5576,5.35272,-3.97821,69245,1,8
02/01,0df3e15c7d6984467f3c7453d750c5d61b9406642833fe0f4f0f9769e9cf896b,CIV.1.,45.703,1,0,7211,5.26056,-3.96397,52078,1,8
02/01,0e523a5cf6c65b98ecd179574deaf0f8e04ef2d0953dae7c700ffc1fa92cf306,CIV.1.,53.948,3,2.48,7859,5.32117,-4.05611,72585,1,8
02/01,0e5b41477ac94a98a5e964eb897508f3e0f8088108fa4de652ec849835979dfe,CIV.11.,0,1,0,3669,7.68761,-5.02876,3669,1,8
02/01,0f62eaabb03c52ef01d62fe58caa9a69aff04fa020924ed4bcdb35e74c7d17b0,CIV.1.,0.766,2,0.146,12341,5.32562,-3.96057,18039,1,8
02/01,0f84b672009bd9ae7bf4f1e4d3aef157d4696aee03afaa0f55a2acb2a9053acd,CIV.13.,291.828,1,0,2819,6.84871,-5.29226,72427,0,7
02/01,1028057108c3a51ae6c37d1fdccad341fb2e3e438f6f4fb3bf6c3a1bd91970e3,CIV.14.,4.124,1,0,4449,8.05144,-2.8102,88652,1,7
02/01,1028cedeacfd38d350b9f53eb28b25d48cec170acbb18e559f4d9854dcb2bb84,CIV.11.,5.995,1,0,21174,7.71509,-4.99954,60830,1,7
02/01,10e15d26dad08852b5231e86e70c1795797ca18db865b4225c966eb2c7168f77,-1,1.441,0,-1,-1,,,5530,-1,-1
02/01,114e27945cde5ccc6d081c9b81e767307eebf178977c1d27ae727de92557b8bc,CIV.1.,471.916,2,5.681,9973,5.3476,-4.09241,66493,1,8
02/01,120b77cad108e2781f94e6f466931cf9a52bf816167ab4b517f472c7af65a1b8,CIV.1.,4.094,2,1.171,2458,5.28396,-3.96017,6047,1,8
02/01,128f9067919a39bfcb0db65d41be803c093da0f3293d2795c8857a5309cb536e,CIV.13.,6.045,1,0,3104,6.80128,-5.2722,33550,1,8
02/01,12986961efbe1d33b4e713cbe21c1a4f694e33f21af90e47c5510b6c4db8db43,-1,30.923,0,-1,-1,,,75383,-1,-1
02/01,12d5f08ad78268dafbb12c399b6c438af10133066ddefc60483bc4dfcac0e770,CIV.1.,2.72,1,0,616,5.30113,-4.00298,21504,1,8
02/01,1339b2737b0db9f4cc65d973de6f9c5c4e216e95014446ca2e49c780a5e817e5,CIV.1.,3.079,1,0,105304,5.35858,-3.97156,105910,1,8
02/01,13841cca282b548b0248b1a7a5b70fa027483be90bbdb9924e464d39fe5f278f,CIV.1.,2.662,1,0,31771,5.36407,-4.08142,62356,1,8
02/01,138ba73530be1a67123ced93caf5a4412ebb46fa4ac13196df82abb01635b2f5,-1,45.139,0,-1,-1,,,27668,-1,-1
02/01,13cb91737417435bdd9211b1d89709f99f56d55ef1650f5caa6c54779124fd93,CIV.1.,18.597,3,5.165,50853,5.39154,-3.99353,58066,1,8
02/01,1409cb91c17d0e581dc8c32d41ea40f55acec20c0b0b221ca970d8ad93ba88fe,-1,7.256,0,-1,-1,,,2949,-1,-1
02/01,1421949b07cb7feec82d9da98bb2dd4dec92a08d122bf7086bb544724f0b9a57,-1,0.054,0,-1,-1,,,7788,-1,-1
02/01,14b2d1d47e04912ab74cf0c5b102976cfc78b7a423efd64677d1b84fa766eb25,CIV.1.,0.317,1,-1,60080,5.29872,-3.9673,60080,1,8
02/01,14cc02df34b796159b400e598ea328cbe79b47beadcc5e876fc75b64cc0c4b92,CIV.8.,0.565,1,0,4383,7.01295,-7.49137,39209,1,6
02/01,1559d7f66e30534af7b768866e22bbc64d6008ca087c460d8e0d5bd411bc23ed,CIV.1.,4.734,2,0.21,46582,5.28717,-3.96057,58133,1,8
02/01,15992703add3474b83719823d4c9a0a91f099d129580c4d1c239bb0a1f4e9c85,CIV.1.,17.645,1,0,58491,5.37683,-3.96991,67547,1,8
02/01,15afbb2fe2a9d71eb13b63c6f7415601e6592830ce9c37a9868ea7b9a97beb41,CIV.8.,0,1,-1,61258,6.74286,-7.34436,61258,1,7
