date,useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
03/01,ea50d4fb2240a5495c978362980aff9dd83a9ce3b0823e1813241b732806cc30,CIV.1.,4.832,2,2.329,34557,5.32534,-4.02196,53874,1,8
03/01,eabe4394ba743d13aa7263c9cee6ee92ab0ee1c1ee0ad626690e8d2610fa7cbf,CIV.1.,3.589,1,0,21119,5.35309,-4.02649,76930,1,8
03/01,eb0230cb422565181e1708016b4a1e77f7160dc9bce1709535bc2747f03a8f15,CIV.1.,37.248,1,0,18437,5.35802,-4.09933,108359,1,8
03/01,eb19e8b137376f6a1dd9418f02d09506399c243ae37c10079cea8acb872263e7,CIV.1.,0.355,1,0,50196,5.32961,-4.03029,50196,1,8
03/01,eb23103a055b9dd563b5ad7f7626cff0df46b0915c9f8ead022d6a5af612b809,-1,0,0,-1,-1,,,0,-1,-1
03/01,eb2e793428244df8c035fdd9ad4a3964cf658e237eab06ea28cce0ca1948a22d,CIV.3.,35.812,4,14.442,25382,5.28167,-3.73785,67907,0,7
03/01,eb34849df343c96540289b0f5b295dfd2706bda87e141df65304d4f9e7bc8b06,CIV.1.,43.841,4,3.225,33376,5.36609,-3.96144,63715,1,8
03/01,ecafa10b0097d1a8a4d6d608e40ff25e13df101cdca4a9aade44a5a2097ab3b5,CIV.1.,13.906,4,0.434,5182,5.35073,-4.07057,14155,1,8
03/01,ed0134b596f685585172d97fc2ff859df03e795a13d6bbe86ecdb09384ab18a6,CIV.1.,17.702,3,7.66,22541,5.29442,-3.97552,57897,1,8
03/01,edd448eb99aadf954a0be6593ef97af68c46f7b2172505b9f9ca5c906d018087,CIV.1.,5.689,1,0,76324,5.3421,-3.97156,76324,1,8
03/01,ee4f717ad2d63be0be965e0e0b3d0053eb3dafd7df1869e56df7e0538f409885,CIV.1.,44.545,2,0.05,33644,5.38594,-3.95136,69096,1,8
03/01,ee543fecb344ae681bedf42d9dd154a0e2042d3b6d03b5d4b23821479b09f510,CIV.7.,61.771,2,42.4,22295,5.20227,-4.41106,49099,1,6
03/01,eeadc1242df30d181868ff95cbd6559ef120aa2349d9763e2a3cf281f7e03fe8,-1,0.192,0,-1,-1,,,30087,-1,-1
03/01,ef430af1d62ac7dbc2a75a69fb09b65dd6ffd75bd1740b530b4627ef15d7f9d7,CIV.1.,20.656,3,3.256,51446,5.33416,-4.00177,71477,1,8
03/01,ef95f9fe0817ffcf80bb9e47b08914b3b1d852d1cdfd4e74fd7bb040cf87b596,CIV.10.,104.093,3,24.421,31218,9.52789,-6.47644,54321,1,7
03/01,eff11525781cd3e6af569165540d0e8b1a788c119bb35e258d2fa5f147258faf,CIV.3.,145.958,2,21.224,35704,5.20302,-3.73622,53848,1,8
03/01,f001673196ddff817f96656cb71e564062acba9ca818bc0164ea6b8bfb2f3c38,CIV.1.,3.19,1,0,66532,5.35309,-4.02649,78846,1,8
03/01,f01d358f8013e1c6dc904b294f626a5469dbffe1907f16c0432c7dce7a485b3d,CIV.1.,0.129,1,-1,27909,5.35564,-3.97756,27909,1,8
03/01,f0876d9afc7f3a86c2d3513be54c0de2adfa77aab529bc6478adb88c1003d955,CIV.1.,19.061,2,0.173,11095,5.44098,-4.02649,67238,1,8
03/01,f0986c31ad97021fb7941d5f00315608bcd09e26a04b098e0d454f98aa295609,CIV.1.,27.443,1,0,86504,5.34627,-4.0224,518573,1,8
03/01,f0f6bc7064f1dbc4704975676aaab45347903115151e8bf155d985660379896e,CIV.1.,103.041,1,0,1842,5.36407,-3.99353,21444,1,8
03/01,f1427784b9e6b335bd7cf3b5407cee4b5a544c816cd46e3f5758ecc3a0d07ff9,CIV.1.,6.993,2,0.711,28859,5.39154,-4.00452,48531,1,8
03/01,f15a0f440f294b68551ffd4f0b1dc44e44d4c86fd3db3479c1574731db96fc27,CIV.1.,10.436,1,0,120119,5.3476,-3.99353,120609,1,8
03/01,f1b135e344e86f21be06cc99b023d2473661768ebba1d3a4485f03b830fef27c,CIV.3.,0.244,1,0,48869,5.22088,-3.75617,65150,1,8
03/01,f1cc22c314678f6fcdaa88904a18cce8cb81577fc56e7e73e9590c98a92be4a9,CIV.1.,3.663,1,0,8311,5.31464,-4.09241,69620,1,8
03/01,f2c101da3f1f3eb0eb3d7f819dd394fc940b702cf8334648c4a2b9b142fafc21,CIV.1.,1.494,2,0.255,41810,5.35779,-3.95736,46303,1,8
03/01,f2da452dbd0c4e46869d3b02aa22deb0cf21fe0c691c2e70d72b3c79deee1871,CIV.1.,5.188,3,0.317,49067,5.48492,-4.04846,56031,1,8
03/01,f30c52d11642f3ea731903bc4808cf4a3b08b13fa3342eb03135eaa6526db6a4,CIV.1.,0,1,-1,1562,5.30811,-3.99181,1562,1,8
03/01,f3615107f4ad020a28388c513417f3c9b5dacb37e2cfee38bc5075a872e414fb,-1,0,0,-1,-1,,,542,-1,-1
03/01,f389dfc8831bbebe840f75e16b668a0e17297334729ea685744c4edbc1dc64f3,CIV.11.,0,1,-1,83237,7.68219,-5.00427,83237,1,8
03/01,f3d188fbdd8a384a07def2a3f2741124a4c89075d9556b5cef5828f619809beb,-1,0,0,-1,-1,,,0,-1,-1
03/01,f4ad7f964094321abce690718568cda40272eef1000f1c91a8a1a8e9e22756d2,CIV.1.,25.542,1,0,978,5.26902,-4.23885,24067,0,6
03/01,f4fcb9d1e41113d172deb7d47227add30fd4c8e43f1e70d50f47a773abca345e,CIV.1.,28.552,1,0,1507,5.30062,-3.98831,19108,1,8
03/01,f5866170112cd552d36323d4c33bc9d5ff63faecd43da62eea5de2caa57aac65,CIV.1.,16.474,1,0,3104,5.29059,-3.98056,10784,1,8
03/01,f5a4041b1d2139dc9f051311749285ffc42356450ddbd42397c4dbd18275c64a,-1,0,0,-1,-1,,,0,-1,-1
03/01,f5aaf2e3f948f6f6b6598c79d0a3334577ae37827246bb8fd81db83381f12163,CIV.1.,28.025,2,0.12,4762,5.37506,-3.96057,31980,1,8
03/01,f60f6673ac10c23fdd27f37afcdc45f44e9a20975f9ade09ad171c3c3cf2f9a1,CIV.1.,44.531,3,5.053,50760,5.35858,-4.02649,75151,1,8
03/01,f61de21d25576c6329ffa348f178440a7136e1fcb5fbed2318aef376723e0b97,CIV.8.,1.054,1,0,70841,6.92373,-8.21489,70962,1,7
03/01,f67f58106ae6e9a0018abdbff2a2b17157fdfe764d5d2efec1bd10b7456549d5,CIV.1.,2.47,2,0.318,1585,5.29929,-4.00752,6408,1,8
03/01,f6bffc961f7e5ae8ecb04accb340c101fd2c8773fe8a5eeb0b7139d074602cbf,-1,0,0,-1,-1,,,0,-1,-1
03/01,f6e59ceab8fd06e65acd6dfc15a3cd984ab754d9e9b5f079972e04f5bfe8e468,CIV.1.,18.393,3,0.405,27098,5.33633,-4.06524,47643,1,8
03/01,f717bd8fd489fdcccf51b728d81f6ec833fec211bf8d3ba4d7f989ada9178f10,CIV.1.,242.404,1,0,24845,5.26685,-4.06285,65302,-1,8
03/01,f7735121e05632c4a29b5620370ad2d6cdd04e3b143709ee30b905fc8b15dee2,CIV.5.,9.129,4,1.099,30933,6.2434,-6.17674,79223,1,6
03/01,f79c7f89232fa4547767b34443a8d29826b0dcc93e92c53d12089e95a3dea4d8,CIV.3.,2.256,1,0,85713,6.74835,-3.49915,85713,0,7
03/01,f7a5d12cb5ddf6908672efbe54c40b9b76123df00430b4b10f2783f72b0e3c90,CIV.1.,18.904,3,1.845,58283,5.36724,-3.9698,73043,1,8
03/01,f85c82c15d8a42e9a858e30f863ee253906420f24927d5772b95a95b8bc9b6f9,-1,0,0,-1,-1,,,0,-1,-1
03/01,f94f2a9344fe1d9e8e84dd739ab0e9c7b8a6fbba4730eecdcbca2008a39f35ee,CIV.13.,0,1,-1,2741,6.80588,-5.26735,2741,1,8
03/01,f9cfbc80eaae24f6fea3ab021e4ba8b95c1c9f9e8029eeca218843266b8653a6,CIV.3.,46.848,1,0,25308,5.21768,-3.78935,46836,0,7
03/01,fa1f319d66fedb35ed7db6a36ce2c938939491e6cf63e9017b13c166fa39e736,CIV.1.,78.034,1,0,5415,5.38,-3.98964,59178,1,8
03/01,fa594230133311906348bb1dd768eea8164962107edbd202b2efc39f3ed5d9db,-1,0,0,-1,-1,,,1,-1,-1
03/01,fa658a5c3bb6c27eec3749ac0146b951f8b7d385648acc60b3181848a9f05a3c,CIV.1.,0.001,1,-1,67392,5.3559,-3.95776,67392,1,8
03/01,fa69205f4e46de105542b870f3c1679d42b9e8c580736a1b5455f94a9cbff2a7,CIV.1.,0.033,1,0,11711,5.37898,-3.94767,11711,1,8
03/01,fa99d936dcd2f16aed9928459a138ae316d20607cf4060a823c7ed37d85d601e,-1,4.44,0,-1,-1,,,89220,-1,-1
03/01,fafcc8ba60d2d6133ff54e956ea14315559c4f66091dcbf3f06b8a730d2c59e8,CIV.1.,243.057,3,9.393,9510,5.30126,-4.00269,162477,1,8
03/01,fb2d5947877f51c7fe6e5d8d074b474d8d05834aedd2b48960cd9829ed9a146f,CIV.1.,4.26,3,0.164,20313,5.29418,-3.9684,64444,1,8
03/01,fb8161d724831c1d155bbd39653950d4bc0c612289d72e0f5e310b062b770331,-1,0.503,0,-1,-1,,,609,-1,-1
03/01,fc302dc4ecfe3b492479b84610ccd35f3e9d86cb18bd3e23c0cd5a798897424b,CIV.1.,30.825,1,0,25556,5.29398,-3.98228,41952,1,8
03/01,fc5e7c28c1d5255b97c06b7085b36c4b261b7b9d44e59a26eaff1aa3aafd867c,CIV.1.,0.128,1,0,37641,5.42567,-3.99302,37641,1,8
03/01,fcfd274b13ffc265578f5b7ba9b6458460114cc620e4e62c2476ea40cbbac8a9,CIV.1.,77.552,2,3.264,79035,5.3421,-4.0155,92528,1,8
03/01,fd71624137d3a79493e9ab884ef52a4c45e1061a761770388e7d410e188cf7bd,-1,84.537,0,-1,-1,,,99474,-1,-1
03/01,fe1012cf81eafad4089df54b2886b3834f7c3491df3d362fe34386e4ac751043,CIV.1.,77.146,2,0.962,11385,5.35309,-4.0155,97792,1,8
03/01,fecda8c87cdcb840f32974eefc6824bf80898f3522a3b184f49aaa4ecabcdc88,-1,34.379,0,-1,-1,,,84735,-1,-1
03/01,fee0ab2d734eb3e9786448d99b771bc55cc0f0153a103305104a5897a34d3c17,-1,1.823,0,-1,-1,,,22201,-1,-1
03/01,ff282610d2e63b2854c4653cfc92f9ef5792eabd1253b1b718520fd18cbb11ed,CIV.1.,4.05,1,0,159942,5.35858,-4.0155,162990,1,8
03/01,ff33cbc63ae72b61e04455e2cc98671f58e52fbe0ddfeeb533f90ea220a971ea,-1,0,0,-1,-1,,,0,-1,-1
03/01,ff50f227b8e53f5dcc98158edd7097f663e24c80acf27f9458cdada305de98ad,CIV.1.,0,1,-1,45085,5.40802,-3.97156,45085,1,8
03/01,ff5b59052e7ea90757afd5a47b2517eff08151783abbe7faca84fa06235c1a69,CIV.1.,1.297,1,0,89607,5.3421,-4.10339,92556,1,8
03/01,ffc1bc0c8b661f0ac7348287df1825d237f41ecfc6b65ec863d96395002d6684,CIV.10.,234.832,1,0,3003,9.44757,-5.6183,14512,1,8
04/01,00382b53b93cc5172361f150e31da69c6daf7eaba0d05923deae628706d10531,CIV.1.,46.689,1,0,27129,5.43549,-4.02649,48851,1,8
04/01,0067972fd9e621d4e20e9ff641295cd363ec79da10a5f27067730922611e1c5b,CIV.1.,0.179,1,0,11306,5.43932,-4.03106,11306,1,8
04/01,00a3f2c7a4529ff816ce926765cfb3b701f977b90b03ba23e0e02aa758e928ad,-1,0,0,-1,-1,,,0,-1,-1
04/01,00d4111b39eb93a83303bc716e68c7556cdc87550c04452bcc970fdbde6dbd2d,-1,2.47,0,-1,-1,,,39406,-1,-1
04/01,0108b414386c6bfe460411644d241855080787b713817a93ae6cd30ebacbec47,CIV.1.,4.091,1,0,633,5.3421,-4.0155,35630,1,8
04/01,01451abed62635210baf5bdeb356df5272f5026958fbcba5d0741bc0be144377,CIV.1.,63.614,4,3.447,67274,5.28717,-3.97156,179592,1,8
04/01,014d37692c2b0fa33687d325d22761bb5eadfd7dd03bb4b7f3ba73790f57fedd,CIV.1.,2.651,1,0,347795,5.40253,-3.99353,347795,1,8
04/01,017b80439b1a31809ee2ff193ac8a997910731ecddbfdb192dd9a6c922ee701e,CIV.1.,24.774,2,0.951,12369,5.25658,-3.98699,136223,1,8
04/01,0194191ad6499c1bf0cc9495347cf13cb40b3ed779ae16529dd4f91242e2c2cd,CIV.1.,35.355,2,0.93,1593,5.3538,-3.96981,68816,1,8
04/01,028f62dc9d895889cef55a25cf3226ac3e626c30f573db2539964b46ff334ef9,CIV.1.,1.318,1,0,81924,5.37506,-3.96057,81924,1,8
04/01,036b692f114668cd56e1593800b6ea74e0c0466db30d8135a6e8b125a5f3c0e1,CIV.1.,32.773,3,6.592,32930,5.32634,-4.01932,60710,1,8
04/01,037a9c4d48e5463749d65c67ff908553cba754f804e081da1b72bbf980fa5bdd,CIV.1.,22.727,2,6.451,65662,5.38055,-3.99353,79157,1,8
04/01,0447e44458e83d810e2715c96400e0d90e7a65c20bdfc9b9115e085a1ddecadb,CIV.1.,2.729,2,0.923,9644,5.35121,-4.03681,17422,1,8
04/01,04681e8fc8b8ba5407e7ab336f67d5ebf1b640711686b394071a6a42796c1ffe,-1,0,0,-1,-1,,,0,-1,-1
04/01,04bd462c8f01654b4cba043d554a2f46cbd441033b778edf85f514c71cb0ddc7,CIV.1.,5.226,2,0.068,2441,5.34116,-4.02039,28284,1,8
04/01,0511bdb5ec1f4041434a8e70bd49ac9c3bffebfe6a20a1eb9870f61e5572d39d,CIV.1.,0.076,1,0,10819,5.37838,-3.96876,10819,1,8
04/01,051eb6f0aff0d3c3ef52bc597af3ad4f8c23d48eb71180d10ccf1be0b9cafe46,CIV.3.,0.475,1,0,51062,5.22125,-3.72986,51062,1,7
04/01,0524fbe3833805ea85a6012a1ab679104617a273e28d18219eeec2aabf934052,-1,15.187,0,-1,-1,,,162845,-1,-1
04/01,05474d79186c66782133e30544dbbad431af6a18e0a19797099ef2817c07ce50,CIV.1.,0.144,1,0,6448,5.37455,-3.93489,7235,1,8
04/01,05c82b681349074ca9a47b27f4fc73fef8b1d1fd938d4436a0de64c528a17a12,CIV.1.,0.515,1,0,76821,5.33377,-3.97716,76821,1,8
04/01,05ef8e756120c85e661402630d8e31bf0485a109d06cd3de2e7235b77c6779a0,CIV.5.,5.738,2,1.888,29278,6.13241,-5.94177,82164,1,7
04/01,06503759d39bd6b247bdbf00cc9d5934d5ada7dbd9d1b3b28e1d1b2ff287984f,-1,0,0,-1,-1,,,0,-1,-1
04/01,06f4cc3118817aafa2d603fcbc0cb75cdf082137e78f5b400120dff87ec4bc04,CIV.1.,0,1,0,2019,5.33777,-4.1004,2019,1,8
04/01,070055060ecfe32678e96daa47f245f85933ca0d55079e8327f941df3e4c30ce,CIV.3.,1.728,2,0.192,6980,7.13606,-3.2083,83892,1,7
04/01,071146dfb8b7005283bb6f998f28fc5033e2cf7594de30f287aa97fd12df0d2a,,38.884,2,3.918,18717,4.74335,-6.61926,70076,1,7
04/01,071bb70ff73f1e31c745fa35255cf7607df3570d7d913e68f91036bd57d3a6eb,CIV.14.,0.043,1,-1,6957,9.26742,-2.99248,6957,1,7
04/01,07229642aab4f40cbfc3b01869db88447a2680284622444564a53b9e48783a63,CIV.1.,5.789,1,0,621,5.39587,-3.99371,2558,1,8
04/01,07295b3910b45d1893cc80b29ebdf25f37b64e66adb02850e004a76709c3a6ae,CIV.1.,33.766,3,5.094,1987,5.33104,-4.02056,15026,1,8
04/01,082ffc192a301090db67c767502ad4fcb085b0ed1f98df71eb891807bdc0ab34,-1,13.069,0,-1,-1,,,5524,-1,-1
04/01,08719b0f8022fcf8f1616da55b6f7be5f4e6f0d69036105bd1a0080d21cc0ffc,CIV.1.,16.191,3,8.301,49815,5.40253,-3.99353,95582,1,8
04/01,08e483084a6cd0e1fdaf9720e3d525f5319ceccdc922f1196a5d35d80f92815c,CIV.1.,13.82,1,0,52509,5.3476,-4.02649,61845,1,8
04/01,092b2fd72a6209057c6e550cd267622d1a97b2b496191e96b7dd2886f760ea89,CIV.1.,46.742,1,0,13206,5.38855,-3.98421,114912,1,8
04/01,097c333a54143e755267e75a19844e70e3dae43759e94d532bb738404b08daa0,CIV.1.,17.274,2,1.072,2057,5.32241,-4.01559,68613,1,8
04/01,09c632d25d08ba232be1b167eb3852c44da3fd61aa7bddfb6ae027d970bdd6cc,CIV.1.,15.762,1,0,87579,5.2597,-3.96057,90365,1,8
04/01,0a2221355c9adcd392734c256cb54508491df4d4f46ac32800b941b920220d67,CIV.1.,81.158,1,0,58690,5.33661,-3.9386,85504,1,8
04/01,0a230d16bf4e2f7d0d5349cbbfba665eba51db735f558ca83743b43928779d0a,CIV.1.,5.057,1,0,103032,5.30325,-3.96306,103032,1,8
04/01,0a4952cf31fef9ce93c88312a6676b50066d739fc64fbab0cdd90145949081a4,CIV.1.,3.245,2,0.026,6557,5.33626,-4.02057,16468,1,8
04/01,0a5547ca0645faf125403ce6f7763d5d057176547cd107cbbd6db115c62b9002,-1,0,0,-1,-1,,,0,-1,-1
04/01,0a70c49205e40833a74b7a9bff3e2530fe378b1f13f8d4d34f82865fa2d6be63,CIV.1.,31.298,3,0.914,8186,5.30914,-3.94958,49738,1,8
04/01,0b47a144fff1931fadb76b81e0d53e5bcac0ab9fc6b65e9dd81ccd16cc9af4f5,CIV.1.,15.046,2,4.062,45839,5.37506,-3.97156,76019,1,8
04/01,0b709218e494463425b794200d26ba42c4636e015ca34728cc06945b356ca0bc,CIV.1.,0.044,1,-1,54120,5.35855,-4.06026,54120,1,8
04/01,0bc45779b74937e9165d0a115aadbf7c7cc17fab1ec2c54e76d5633dd835aa6a,CIV.1.,1.775,1,0,103556,5.33268,-4.09993,117136,1,8
04/01,0bc7daf4dd0fdaf295f445c8d34176da2b910a83807e57b8339aa1efff68f55b,CIV.11.,0.686,1,0,48650,7.73163,-5.01526,55998,1,7
04/01,0bf1bf839d00aef515711239640ec6f221f08d6f05afced04fcdf6165ca358e4,-1,0.19,0,-1,-1,,,30837,-1,-1
04/01,0c0c8b6490c60bf0215b7e949eaea8f5ece17b37092e91792f17d06427a3d833,-1,1.276,0,-1,-1,,,2566,-1,-1
04/01,0c9aabfff021276b8a7e0d523b79b04236d3436009339c0f635e4947de4028fa,-1,0,0,-1,-1,,,0,-1,-1
04/01,0d7775d81976f36ea7f9f050584e4a579c2fc5ea18e795a5982859bde233f34d,CIV.1.,2.949,1,0,27582,5.3476,-4.07043,28311,1,8
04/01,0db5166662c64b2c64467cd8756137525a0f69c8dc802388e5c50e85b41ad4b6,CIV.1.,21.302,3,0.195,57592,5.35842,-3.92224,82850,1,8
04/01,0dcf212418d71b7d18b21577be2dc874208def9743280a8f6b697449a7523246,CIV.12.,0,1,-1,26082,7.9603,-6.67066,26082,1,8
04/01,0e214b4e034e33d45254af9ef4d073b1967aa4190a89dee974539394649f6982,CIV.1.,0,1,-1,24336,5.30996,-3.98751,24336,1,8
04/01,0e523a5cf6c65b98ecd179574deaf0f8e04ef2d0953dae7c700ffc1fa92cf306,-1,2.167,0,-1,-1,,,1058,-1,-1
04/01,0f17c23331961c831169a887ff559ab12478aa3f49707e2817b45e0632f8c04e,CIV.1.,5.171,1,0,2560,5.30365,-3.96057,9131,1,8
04/01,0f4629b61bb9bd638fcca89a735b5a0c5cad7da46c00aee0359c82cb89e49292,-1,6.098,0,-1,-1,,,1007,-1,-1
04/01,0f84b672009bd9ae7bf4f1e4d3aef157d4696aee03afaa0f55a2acb2a9053acd,CIV.1.,90.118,1,0,2442,5.36657,-3.95537,83586,1,8
04/01,103514f581d71af2da5ce122fb9c7b299a979479a2eebe35b38b374e46e27b5a,CIV.1.,13.63,2,8.759,225792,5.36957,-3.91663,237822,1,8
04/01,10f8d5954bd0e38f0369e0b4a76ca56b8da9417dc4dd1348c10ec260da6ed9b4,-1,0,0,-1,-1,,,1,-1,-1
04/01,124a95c136430ee20221e6e3ceb7a73ce86544df39d83e443ed87173e4c7e9a9,-1,18.136,0,-1,-1,,,6056,-1,-1
04/01,12986961efbe1d33b4e713cbe21c1a4f694e33f21af90e47c5510b6c4db8db43,CIV.1.,72.673,1,0,69251,5.40253,-3.98254,135461,1,8
04/01,12c936748345642cf50f4cf085d6f91c2dc4deb4406609d1f6da974fa5084482,-1,6.247,0,-1,-1,,,73291,-1,-1
04/01,12fbc4291c2e3be81e93fa50e2fc1eb7c2394a1afa8ad52d5759e3a400512159,CIV.1.,53.422,1,0,12551,5.39703,-3.99353,59175,1,8
04/01,13841cca282b548b0248b1a7a5b70fa027483be90bbdb9924e464d39fe5f278f,CIV.1.,11.001,1,0,153997,5.36407,-4.08142,156538,1,8
04/01,138ba73530be1a67123ced93caf5a4412ebb46fa4ac13196df82abb01635b2f5,CIV.3.,3.85,2,1.141,16178,7.14386,-3.20251,17813,1,7
04/01,13f047b00678f42d640ad018678b962fe8bd6828a33e9380458ddbd661ccf8b4,CIV.1.,9.7,1,0,16454,5.30405,-3.98323,47171,1,8
04/01,1421949b07cb7feec82d9da98bb2dd4dec92a08d122bf7086bb544724f0b9a57,CIV.1.,25.478,1,0,21887,5.30365,-4.02649,69404,1,8
04/01,14b2d1d47e04912ab74cf0c5b102976cfc78b7a423efd64677d1b84fa766eb25,CIV.1.,31.291,1,0,66459,5.29816,-3.97156,74141,1,8
04/01,14cc02df34b796159b400e598ea328cbe79b47beadcc5e876fc75b64cc0c4b92,CIV.8.,0.449,1,0,12285,6.97305,-7.54665,12285,1,6
04/01,14d82b235eea21fd2f07bbe8df68c0afea9e246cc0820d6addf7f44e126b95f0,CIV.5.,4.777,1,0,30553,6.465,-5.95536,83872,1,7
04/01,15992703add3474b83719823d4c9a0a91f099d129580c4d1c239bb0a1f4e9c85,CIV.1.,208.994,1,0,12250,5.37506,-3.97156,61073,1,8
04/01,160ebfbf43ac1fdfff9cd3a454ddc49ca2b1beb9372c971f8a496d812e798ad7,CIV.1.,0.98,1,0,30691,5.3675,-4.02692,34446,1,8
04/01,1629875e9e938a040e9bc73ac257adfc03dd0038415dc068f7dc5dfa9764e53f,CIV.3.,0,1,-1,98902,6.72089,-3.49915,98902,1,7
04/01,167cf908434eb34a3efdce4ffd1275fa69f39adfcac7f16ad2332053409c951c,CIV.1.,0.946,1,0,53220,5.37601,-3.95548,57776,1,8
04/01,181d6e7e0d6ac877285265556bb74a893d91d4d94fde5dd16cb00c93516eba6d,-1,0,0,-1,-1,,,0,-1,-1
04/01,18786d5d1a69ef780ef7c951d76ec84d22ce5954f84e78ed91f42c1c3c1884c5,-1,4.483,0,-1,-1,,,81190,-1,-1
04/01,1892ec0c2b4ec7db5ecdfb7878b2a2c22b2928b760329d22d0905edfb767cf10,CIV.1.,37.687,2,0.466,48018,5.36957,-3.96057,68626,1,8
04/01,18d49a020223940b5c86aecbda9190b44c946d4274fd9148c4465b626e1c5f85,-1,6.956,0,-1,-1,,,58422,-1,-1
04/01,1949d930f1f843bf8f89f4b879b67944da69a71449896e23738b4db79b609701,CIV.1.,0.085,1,0,23285,5.35056,-4.10517,23285,1,8
04/01,1968963f2809062e7e57fa5b1ec14cfde706efd5b650282d6d6006fc9e873589,CIV.1.,0.284,1,-1,73940,5.37665,-3.97231,73940,1,8
04/01,1970ba1123bcdaf9fd1aed915887b3d48ed033283e6100cc562558837667f7ce,CIV.1.,6.318,3,1.195,10671,5.29816,-3.99353,14952,1,8
04/01,19a63714334e159543a0d2cd95baf314582f4cb3f99cabeea86ed7c2e39b7277,CIV.1.,4.558,1,0,4783,5.32788,-4.09411,5381,1,8
04/01,1ab02e3559c3f64886697383c8fb6da9a59e7f9b3a43ab7d75388055def24e31,CIV.10.,12.523,1,0,4173,9.46587,-5.61441,72655,1,8
04/01,1ab98f139206a11d628561caf6e1e6e933518c41106e2dedaf95e25d2fab27ad,CIV.1.,19.309,1,0,23678,5.33661,-4.08142,72866,1,8
04/01,1ae739fbb6c12874e3505d5f1574264f5d016e797c5ecf233525dcedb0577037,CIV.14.,3.938,1,0,27792,8.04898,-2.80015,70165,1,7
04/01,1b22d6e909d251b43fcb6860fbca8c1c1898bc97ed057df4c21dc8a6f847caf9,-1,0.541,0,-1,-1,,,12618,-1,-1
04/01,1ba64493484a57beeb338325dc5988dbdf8e0e228a10fe466b4fc5d05960612d,CIV.1.,14.036,2,3.657,89735,5.36407,-3.99353,113002,1,8
04/01,1ba7b93d91b5c2d24378e7135bfeb2d1a2c1db55c6fb443874be282576e9186d,CIV.1.,1.746,1,0,1060,5.32334,-4.07899,1060,1,8
04/01,1c306e270735990176361fdb0ce2ced461190fc08e16b12d9eafc104e178407a,CIV.1.,47.744,1,0,2858,5.27069,-4.00452,13059,1,8
04/01,1c3c9ee55c23df5724c839ac586bffca567be6f832268ee46978074fb36e05ce,CIV.2.,2.132,2,0.066,3361,4.74577,-6.63268,30169,1,7
04/01,1ce7c7a00ef8b65911eba7176ab5b97cde44fb5d3635424575202c3b9e5c74c4,-1,9.719,0,-1,-1,,,70194,-1,-1
04/01,1d1f48374a7b102b9fc855cef75d9754b3cd9ff4b59b351ffe0487838e222546,CIV.1.,6.321,2,2.797,34010,5.38362,-3.94879,44077,1,8
04/01,1d2d584754329dff9959e20a609a5763b33eeb0c93cc991f4a9c472e9e628233,-1,0,0,-1,-1,,,0,-1,-1
04/01,1d7f3c4fa90233f82f53cab3a0f2c85d2ed17a42279916572e886dfc9f1e725c,CIV.5.,27.529,2,2.784,5904,5.83692,-5.3481,34069,1,7
04/01,1e194fc20dd1fafc321113df9c8d2fa91859aa6e88151f5c3f40fb450fcdb6c4,-1,0,0,-1,-1,,,0,-1,-1
04/01,1e4c1199e08ff1abd08ef4abe993775d5d696e5f3287ff54d0f950083bc6b1b8,CIV.3.,0.326,1,0,113702,6.71964,-3.48596,190862,1,7
04/01,1e568f6bdbde94c84a9383d98636a060e3894d002401eb2cc44dc1e9c98cb41e,-1,0.338,0,-1,-1,,,13098,-1,-1
04/01,1eb2ff4aa67f615ff8ffbcf2b50c054aac2fa98aeeff599ef3e34ae94255f5db,CIV.1.,34.121,2,6.127,27557,5.38605,-3.98254,117516,1,8
04/01,1eb35a4aa073051b3ee7895ee315e96fb75746de0a6121e99cfaafb36b4e0efe,CIV.8.,2.432,2,0.408,2761,7.40555,-7.55696,4164,1,8
04/01,1f0cc7f893d1e50168e82bd758ab165d52cb4920dc3ebfecb9cf58e915a91bbe,CIV.6.,0,1,-1,25112,7.15302,-5.2252,25112,1,6
04/01,1ff1ad7fc3cce169e2b0e898b47f46646183285bc64e4e0d6963938e9e3b9b32,-1,0.15,0,-1,-1,,,39129,-1,-1
04/01,208b4aa35d39d276f674b9b91b2c06c9826822473a1eb76309b71b0c0841b1c2,-1,0,0,-1,-1,,,0,-1,-1
04/01,209122600a2139447373906a6ce2a5301c94122f1300c10cb8a17f6a2e5a7240,-1,2.093,0,-1,-1,,,2221,-1,-1
04/01,20a8586db1da4473fe59628e0745f01b141f8f4237d23f5150827af7d2a5e0ee,CIV.7.,0.827,1,0,18605,5.32362,-4.3757,21184,1,7
04/01,20acbc4472d915952d546760f4d34ee27b1eec3f6e047f9d1833cf1f3f12e58e,CIV.1.,24.592,2,8.207,15945,5.42285,-4.00012,40435,1,8
04/01,20b2e72c996a052a33f635edf3c84eaf2286342727eb208fd329894ff0d7b915,CIV.1.,98.781,3,0.904,17483,5.33112,-4.09241,73556,1,8
04/01,212377d9221ad4a1c1481e844778b9fb0c20841394bfef2319f13c8b1907788f,CIV.1.,0.238,1,0,19275,5.36049,-3.99323,19275,1,8
