useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
000daa52c6b11bf738655f4040fe7e5f3132c2960ee4c11dfe9689568e6f0481,CIV.1.1_1,7.609,3,1.847,14543,5.35145,-3.95373,61540,1,8.0
0018103af40c3bda85c95c3e50a91170c23d5af030eb5eecbf99ea0da5a5aeec,CIV.8.1_1,1.301,1,0.0,4491,6.48638,-7.61691,39768,0,5.0
00320833b4ce3c74d004969b30125e5a702cc4ed3edfad0f23822427f7ee872f,CIV.9.2_1,2.973,1,0.0,5854,6.98582,-5.75245,19878,1,7.0
00382b53b93cc5172361f150e31da69c6daf7eaba0d05923deae628706d10531,CIV.1.1_1,13.945,4,0.688,61294,5.42605,-4.02056,86321,1,8.0
004efc6b1831f2ca2518bf63f84fb73faacb3aae3c162be63bbc2eb5d20748e9,CIV.1.1_1,8.876,1,0.0,3882,5.49599,-4.05178,25648,1,8.0
00aad89ff77d7aa04a817eca26f85b165e81927398ba2e3d5dc3ccbea15f45d2,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
0108b414386c6bfe460411644d241855080787b713817a93ae6cd30ebacbec47,CIV.1.1_1,18.538,1,0.0,6732,5.36848,-3.99154,82075,1,8.0
010d94e4924d2eae41f4b0d9ef511a4a318ea1be21d2711ad274871f9bb8a695,CIV.10.2_1,0.127,1,0.0,37674,9.46199,-5.63163,37674,1,8.0
0153a64f3227f4f5d8ffbbfbb97abe5a5ef27ac40ee489ef9a901c48a7fbac65,CIV.1.1_1,0.001,1,-1.0,2952,5.33726,-4.07546,2952,1,8.0
01c3c9cf277947e90bf2b73554c0d7d62a89c95b9265bc4b4aa8d9d7a6ff6be2,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
0254039340dc7b8d98eea227c20f646e9a1c025ca5ce0e34bbe259185f6df0b1,CIV.2.3_1,2.267,1,0.0,33571,4.74633,-6.63063,36701,1,7.0
02ab89387af4d94bc54c2158e7a5159b4351784ebf48c1a35cf12f29f1d79b4d,CIV.1.1_1,18.418,2,0.025,1879,5.35067,-4.09489,12311,1,8.0
02aff016f50e8628f9666b4c2c341ec4ac9acd5a7b59397cef02196e8d650995,-1,1.294,0,-1.0,-1,,,33809,-1,-1.0
036f7b681c29532bc81acccd681df30d50359c5b1f0de7da9cfc61fb9225d4ba,CIV.5.2_1,0.407,1,0.0,7389,5.8221,-5.35391,8363,1,7.0
037670699bb495e5a3cacf07cf775cbce3d11d6fac650503c7f21b56dc2a92ac,CIV.1.1_1,1.186,1,0.0,47422,5.36946,-3.95177,52224,1,8.0
037dad5067539d1c98cc6dd40e3c3e81e81df331200e3150a4e51d3440762e5d,CIV.1.1_1,44.505,3,10.045,42384,5.30432,-4.02319,90778,1,8.0
