useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
000daa52c6b11bf738655f4040fe7e5f3132c2960ee4c11dfe9689568e6f0481,CIV.1.1_1,11.399,4,1.666,37534,5.36957,-3.96057,64288,1,8.0
0018103af40c3bda85c95c3e50a91170c23d5af030eb5eecbf99ea0da5a5aeec,-1,1.383,0,-1.0,-1,,,89953,-1,-1.0
00382b53b93cc5172361f150e31da69c6daf7eaba0d05923deae628706d10531,CIV.1.1_1,9.133,3,0.317,3295,5.43549,-4.02649,16028,1,8.0
00d4111b39eb93a83303bc716e68c7556cdc87550c04452bcc970fdbde6dbd2d,CIV.1.1_1,1.561,1,0.0,701,5.43739,-4.01973,8473,1,8.0
0108b414386c6bfe460411644d241855080787b713817a93ae6cd30ebacbec47,CIV.1.1_1,1.684,1,0.0,126823,5.3421,-4.0155,127433,1,8.0
01451abed62635210baf5bdeb356df5272f5026958fbcba5d0741bc0be144377,CIV.1.1_1,57.699,2,1.429,50378,5.28717,-3.97156,101522,1,8.0
01779aaa17df718095dc531f6185e0170dd3b530a09926a938724e41d0f2e30e,CIV.1.1_1,95.269,3,14.7,9554,5.40561,-4.15279,34030,0,7.0
0194191ad6499c1bf0cc9495347cf13cb40b3ed779ae16529dd4f91242e2c2cd,CIV.1.1_1,22.86,1,0.0,19782,5.34275,-3.96855,31795,1,8.0
01a988e065eb99222936b24334eca48c4f91436d0509f450c2fb091e24bf8827,CIV.1.1_1,34.634,1,0.0,15861,5.30365,-4.00452,39328,1,8.0
01c3c9cf277947e90bf2b73554c0d7d62a89c95b9265bc4b4aa8d9d7a6ff6be2,-1,54.468,0,-1.0,-1,,,46404,-1,-1.0
0213772b81648eb67f9d8a5cf67ffb59510e92ad7674caff5aeb40f76fe80c23,CIV.11.1_1,11.974,1,0.0,1335,7.65447,-5.02127,63929,1,8.0
023a2b5e139a915b7e7698c204753140e7a4b9e69b637e8ff4a7751eea2edd95,CIV.10.3_1,3.421,2,0.23,26999,9.58291,-5.21087,171628,1,7.0
02e285a905e1c293bc2808a191ef644c460aa608cdcb3478358d94e36d4a4d0a,-1,4.545,0,-1.0,-1,,,68424,-1,-1.0
02ea26d2817c286849473ab71a37c2ed2d839a172289e5aad18851609d356911,CIV.1.1_1,74.453,1,0.0,17141,5.44751,-4.02407,30194,1,8.0
0331759240a1fad6d9e63f1e60936fb12409c6b78d3b4a236b29822ccd5dc166,CIV.1.1_1,23.647,1,0.0,77405,5.4023,-3.9944,212484,1,8.0
036b692f114668cd56e1593800b6ea74e0c0466db30d8135a6e8b125a5f3c0e1,CIV.1.1_1,40.157,1,0.0,6885,5.31068,-4.03833,35054,1,8.0
037dad5067539d1c98cc6dd40e3c3e81e81df331200e3150a4e51d3440762e5d,CIV.1.1_1,22.135,3,0.119,23168,5.35999,-3.92649,47360,1,8.0
03e0dc21e88ecc5ab8dfd8fdac0a0c154c66c1dd90f6961e5998046904713835,CIV.1.1_1,0.591,1,0.0,125835,5.48253,-4.05014,126130,1,8.0
