useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
00382b53b93cc5172361f150e31da69c6daf7eaba0d05923deae628706d10531,CIV.1.1_1,46.689,1,0.0,27129,5.43549,-4.02649,48851,1,8.0
0067972fd9e621d4e20e9ff641295cd363ec79da10a5f27067730922611e1c5b,CIV.1.1_1,0.179,1,0.0,11306,5.43932,-4.03106,11306,1,8.0
00a3f2c7a4529ff816ce926765cfb3b701f977b90b03ba23e0e02aa758e928ad,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
00d4111b39eb93a83303bc716e68c7556cdc87550c04452bcc970fdbde6dbd2d,-1,2.47,0,-1.0,-1,,,39406,-1,-1.0
0108b414386c6bfe460411644d241855080787b713817a93ae6cd30ebacbec47,CIV.1.1_1,4.091,1,0.0,633,5.3421,-4.0155,35630,1,8.0
01451abed62635210baf5bdeb356df5272f5026958fbcba5d0741bc0be144377,CIV.1.1_1,63.614,4,3.447,67274,5.28717,-3.97156,179592,1,8.0
014d37692c2b0fa33687d325d22761bb5eadfd7dd03bb4b7f3ba73790f57fedd,CIV.1.1_1,2.651,1,0.0,347795,5.40253,-3.99353,347795,1,8.0
017b80439b1a31809ee2ff193ac8a997910731ecddbfdb192dd9a6c922ee701e,CIV.1.1_1,24.774,2,0.951,12369,5.25658,-3.98699,136223,1,8.0
0194191ad6499c1bf0cc9495347cf13cb40b3ed779ae16529dd4f91242e2c2cd,CIV.1.1_1,35.355,2,0.93,1593,5.3538,-3.96981,68816,1,8.0
028f62dc9d895889cef55a25cf3226ac3e626c30f573db2539964b46ff334ef9,CIV.1.1_1,1.318,1,0.0,81924,5.37506,-3.96057,81924,1,8.0
036b692f114668cd56e1593800b6ea74e0c0466db30d8135a6e8b125a5f3c0e1,CIV.1.1_1,32.773,3,6.592,32930,5.32634,-4.01932,60710,1,8.0
037a9c4d48e5463749d65c67ff908553cba754f804e081da1b72bbf980fa5bdd,CIV.1.1_1,22.727,2,6.451,65662,5.38055,-3.99353,79157,1,8.0
0447e44458e83d810e2715c96400e0d90e7a65c20bdfc9b9115e085a1ddecadb,CIV.1.1_1,2.729,2,0.923,9644,5.35121,-4.03681,17422,1,8.0
04681e8fc8b8ba5407e7ab336f67d5ebf1b640711686b394071a6a42796c1ffe,-1,0.0,0,-1.0,-1,,,0,-1,-1.0
04bd462c8f01654b4cba043d554a2f46cbd441033b778edf85f514c71cb0ddc7,CIV.1.1_1,5.226,2,0.068,2441,5.34116,-4.02039,28284,1,8.0
0511bdb5ec1f4041434a8e70bd49ac9c3bffebfe6a20a1eb9870f61e5572d39d,CIV.1.1_1,0.076,1,0.0,10819,5.37838,-3.96876,10819,1,8.0
051eb6f0aff0d3c3ef52bc597af3ad4f8c23d48eb71180d10ccf1be0b9cafe46,CIV.3.2_1,0.475,1,0.0,51062,5.22125,-3.72986,51062,1,7.0
